kepoi_name,median_candidate_probability,lower_90pct,upper_90pct,interval_width,probability_std
K00934.03,0.9605268399878281,0.9437039001762452,0.9854677089689092,0.04176380879266406,0.013927153722625762
K03158.05,0.9437047612466702,0.9227342243430057,0.9644500779222189,0.04171585357921326,0.012540638255183912
K00618.01,0.9610360284868741,0.945710638649786,0.9873974518705905,0.041686813220804475,0.011511507558218755
K07313.01,0.017584129200637646,0.0065260209271143545,0.048173011482203286,0.04164699055508893,0.013790055213131747
K00275.02,0.9266160510712738,0.8972304815756862,0.9388563324955571,0.04162585091987092,0.018556159463859124
K03536.01,0.01902162387183904,0.011004273098177381,0.05244415885521361,0.041439885757036235,0.011501710619866505
K05980.01,0.03049724558162955,0.010292976793977757,0.05157146176507518,0.04127848497109743,0.01376883966535011
K01602.01,0.9680004140434487,0.9361092900640487,0.9773468600554225,0.041237569991373735,0.017679430959322274
K00569.01,0.9696963076200902,0.9359550059474071,0.9771164112315536,0.04116140528414647,0.01381007299666406
K00191.02,0.935598153817217,0.9147514708702116,0.9558461374672921,0.0410946665970805,0.013219122346321523
K01535.01,0.9417956768648099,0.9140899969948502,0.9550831165461902,0.040993119551339996,0.013332016211434162
K00705.01,0.026734715867777002,0.012352997854931786,0.05289349784449855,0.04054049998956677,0.01589763952611143
K02078.02,0.931295006186343,0.9103088452065541,0.9508002142334272,0.040491369026873114,0.014687982653492384
K00814.01,0.9340233733043061,0.9102748877128511,0.9506494886578012,0.040374600944950045,0.012599857613544948
K01606.01,0.9502608969334303,0.9213034219752325,0.9615101306957493,0.04020670872051679,0.011823994723358483
K04097.01,0.9147848262609308,0.9069408846539615,0.9470315923778526,0.04009070772389112,0.01607138129738754
K05527.01,0.021768706832769047,0.01088772755633872,0.05094565595287877,0.04005792839654005,0.012592523185827246
K00137.01,0.9422217248515046,0.920306910757611,0.9595045026259438,0.039197591868332826,0.01293350436383176
K07576.01,0.025549988875394326,0.013564321667637366,0.0527352119308373,0.039170890263199934,0.014122746292178266
K03910.01,0.012596841584415805,0.008514667531118217,0.047585552946940585,0.03907088541582237,0.014949488607548533
K02400.01,0.9482716998244763,0.9255869601480522,0.9644530749596982,0.038866114811646035,0.015689684828400906
K06011.01,0.023861056588706728,0.00937768625541461,0.048214257977420655,0.038836571722006046,0.011640662811554098
K02945.01,0.9548137092934446,0.934108666057662,0.9726548059861181,0.038546139928456125,0.016485209194894664
K00523.02,0.9534179337177446,0.9358269688828147,0.9742947294027835,0.03846776051996881,0.011716067834208033
K02167.03,0.9696544045040897,0.9374497132255903,0.9758251559848212,0.03837544275923088,0.013122766532096989
K02839.01,0.9037359688605533,0.8886002620618642,0.9268110213660962,0.03821075930423201,0.014071855873453951
K02120.01,0.9556481978034821,0.9320534354145595,0.9700519721040481,0.037998536689488605,0.012887347460632187
K07548.01,0.011408916231733547,0.006135627464075455,0.04398823531450988,0.03785260785043442,0.013571305500737079
K07613.01,0.018635387581880478,0.008449358598194198,0.04611234170489739,0.03766298310670319,0.012045015767633473
K01863.01,0.9595334162157255,0.9383688593602094,0.9759015992832784,0.037532739923068936,0.012361576418494275
K06420.01,0.020846574975937456,0.006750736832930101,0.04427406295383652,0.03752332612090642,0.012867750836261975
K00487.01,0.9464278107543591,0.925650744720985,0.9630306438232799,0.03737989910229489,0.013533494967449107
